"K_C_V01_1","K_C_V01_2","K_C_V02_1","K_C_V02_2","K_C_V03_1","K_C_V03_2","K_C_V04_1","K_C_V04_2","K_C_V05_1","K_C_V05_2","K_C_V06_1","K_C_V06_2","K_C_V07_1","K_C_V07_2","K_C_V08_1","K_C_V08_2","K_C_V09_1","K_C_V09_2","NGANHKT_1","NGANHKT_2","TUOI_1","TUOI_2","VON_1","VON_2"
0.08,0.1,0,0.01,288.14,298.44,35.73,30.69,0.07,0.13,0.24,0.43,0,0.02,0.02,0.06,0.37,0.3,"1311","1311",16,16,173.2,173.2
0.02,0.04,0,0.01,120.19,107.65,89.6,75.88,0.06,0.06,0.12,0.17,0.02,0.02,0.05,0.06,0.45,0.28,"4659","4659",14,14,222,222
0.26,0.16,0.01,-0.26,2225.85,309.25,3153.62,233.22,0.18,0.21,0.51,0.74,0,0.01,0.02,0.04,0.16,0.06,"3092","3092",16,16,237,237
0.11,0.5,0,-0.01,428.42,7725.56,489.09,-3460.82,0.33,0.34,0.45,0.56,0.07,0,0.11,0,0.47,0.42,"1311","1311",16,16,267.4,267.4
0.16,0.15,0,0.02,28.21,19.37,57.27,35.56,0.05,0.06,0.35,0.4,0.01,0.01,0.04,0.04,0.07,0.06,"2029","2029",18,18,1300,1300
0.07,0.07,0.01,0.01,9.92,9.51,62.08,49.59,0.02,0.03,0.08,0.11,0.11,0.08,0.56,0.36,0.03,0.03,"3512","3512",11,11,9892,9892
0.03,-0.01,0.02,-0.04,67.46,66.08,32.3,30.41,0.16,0.19,0.27,0.34,0.06,0.05,0.15,0.12,0.27,0.21,"126","126",11,11,1150,1150
0.24,0.28,0,0.01,254.69,439.83,409.07,1220.11,0.01,0.01,0.02,0.02,0.22,0.13,0.83,0.29,0.14,0.2,"4101","4101",16,16,300,300
0.05,0.1,0.04,0.03,204.93,158.23,25.42,17.6,0.02,0.06,0.03,0.07,0.17,0.12,0.43,0.35,0.41,0.43,"4631","4631",11,11,4359.39,4359.39
0.11,0.13,0,-0.01,308.82,675.81,153.71,256.29,0.02,0.03,0.09,0.12,0,0,0.01,0,0.22,0.25,"1020","1020",16,16,400,400
0.07,0.11,-0.03,-0.01,315.77,417.88,355.27,488.66,0.02,0.03,0.04,0.04,0.09,0.08,0.16,0.13,0.48,0.49,"4669","4669",11,11,370,370
0.95,0.55,-0.17,2.12,29798.59,35916.67,52.37,59.13,0.24,0.62,0.24,0.65,0,0,0.04,0.02,0.73,0.32,"6810","6810",16,16,170,170
0.08,0.11,0.01,0.01,59.01,43.2,113.57,107.56,0.41,0.52,0.5,0.68,0.01,0.02,0.01,0.03,0.19,0.18,"4669","4669",15,15,192.3,192.3
0.03,0.06,0.02,0.03,411.35,541.52,375.02,558.38,0.2,0.17,0.25,0.2,0.07,0.08,0.1,0.11,0.55,0.58,"4212","4212",11,11,700,700
